record_id,App Id,Name,Developers,Publishers,Metascores,Owners,Genres
655,447820,Day of Infamy,New World Interactive,New World Interactive,0.77,1000000,"['Action', 'Indie', 'Strategy', 'in Early Access']"
702,491950,Orwell: Keeping an Eye On You,Osmotic Studios,Fellow Traveller,0.77,1000000,"['Adventure', 'Indie', 'Simulation']"
716,50130,Mafia II (Classic),2K Czech,2K,0.77,2000000,['Action']
761,554620,Life is Strange: Before the Storm,Deck Nine,Square Enix,0.77,1000000,"['Action', 'Adventure']"
821,630,Alien Swarm,Valve,Valve,0.77,2000000,['Action']
839,644930,They Are Billions,Numantian Games,Numantian Games,0.77,1000000,['Strategy']
854,67370,The Darkness II,Digital Extremes,2K,0.77,1000000,['Action']
879,71340,Sonic Generations Collection,Devil's Details,SEGA,0.77,1000000,['Action']
896,750920,Shadow of the Tomb Raider: Definitive Edition,Eidos-Montr̩al,Square Enix,0.77,1000000,"['Action', 'Adventure']"
907,774361,Blasphemous,The Game Kitchen,Team17 Digital Ltd,0.77,200000,"['Action', 'Adventure', 'Indie']"
916,805550,Assetto Corsa Competizione,Kunos Simulazioni,505 Games,0.77,200000,"['Racing', 'Simulation', 'Sports', 'in Early Access']"
924,815370,Green Hell,Creepy Jar,Creepy Jar,0.77,500000,"['Indie', 'Simulation', 'in Early Access']"
974,952060,Resident Evil 3,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0.77,1000000,['Action']
12,1066780,Transport Fever 2,Urban Games,Good Shepherd Entertainment,0.76,200000,"['Simulation', 'Strategy']"
42,115320,Prototype 2,Radical Entertainment,Activision,0.76,500000,"['Action', 'Adventure']"
140,214950,Total War: ROME II - Emperor Edition,CREATIVE ASSEMBLY,SEGA,0.76,2000000,['Strategy']
213,234650,Shadowrun Returns,Harebrained Schemes,Paradox Interactive,0.76,1000000,"['Adventure', 'Indie', 'RPG', 'Strategy']"
250,24240,PAYDAY The Heist,OVERKILL Software,Daybreak Game Company,0.76,2000000,['Action']
332,270880,American Truck Simulator,SCS Software,SCS Software,0.76,1000000,"['Indie', 'Simulation']"
361,287390,Metro: Last Light Redux,4A Games,Deep Silver,0.76,2000000,['Action']
386,2990,FlatOut 2,Bugbear Entertainment,Strategy First,0.76,200000,['Racing']
399,304390,FOR HONOR,Ubisoft Montreal,Ubisoft,0.76,2000000,['Action']
476,350080,Wolfenstein: The Old Blood,MachineGames,Bethesda Softworks,0.76,500000,['Action']
479,35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Tripwire Interactive,Tripwire Interactive,0.76,2000000,"['Action', 'Massively Multiplayer', 'Simulation']"
527,379430,Kingdom Come: Deliverance,Warhorse Studios,Warhorse Studios,0.76,1000000,"['Action', 'Adventure', 'RPG']"
571,395170,DISTRAINT: Deluxe Edition,Jesse Makkonen,Jesse Makkonen,0.76,2000000,"['Adventure', 'Casual', 'Indie']"
576,397950,Clustertruck,Landfall,tinyBuild,0.76,200000,"['Action', 'Indie']"
613,423230,Furi,The Game Bakers,The Game Bakers,0.76,500000,['Action']
671,464920,Surviving Mars,Haemimont Games,Paradox Interactive,0.76,500000,"['Simulation', 'Strategy']"
719,50300,Spec Ops: The Line,YAGER,2K,0.76,2000000,"['Action', 'Adventure']"
785,583950,Artifact,Valve,Valve,0.76,1000000,['Strategy']
932,841370,NBA 2K19,Visual Concepts,2K,0.76,500000,"['Simulation', 'Sports']"
942,859580,Imperator: Rome,Paradox Development Studio,Paradox Interactive,0.76,500000,"['Simulation', 'Strategy']"
100,20510,S.T.A.L.K.E.R.: Clear Sky,GSC Game World,GSC World Publishing,0.75,500000,"['Action', 'RPG']"
120,209870,Blacklight: Retribution,"Hardsuit Labs, Inc.","Hardsuit Labs, Inc.",0.75,2000000,"['Action', 'Free to Play']"
129,212070,Star Conflict,Star Gem Inc.,Gaijin Distribution KFT,0.75,2000000,"['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation']"
147,218680,Scribblenauts Unlimited,5th Cell Media,Warner Bros. Interactive Entertainment,0.75,1000000,"['Adventure', 'Casual', 'Strategy']"
201,232090,Killing Floor 2,Tripwire Interactive,Tripwire Interactive,0.75,2000000,"['Action', 'in Early Access']"
209,233860,Kenshi,Lo-Fi Games,Lo-Fi Games,0.75,1000000,"['Action', 'Indie', 'RPG', 'Simulation', 'Strategy', 'in Early Access']"
265,245620,Tropico 5,Haemimont Games,Kalypso Media Digital,0.75,1000000,"['RPG', 'Simulation', 'Strategy']"
307,261640,Borderlands: The Pre-Sequel,2K Australia,2K,0.75,2000000,"['Action', 'RPG']"
371,290340,Armello,League of Geeks,League of Geeks,0.75,500000,"['Adventure', 'Indie', 'RPG', 'Strategy', 'in Early Access']"
600,414700,Outlast 2,Red Barrels,Red Barrels,0.75,1000000,"['Action', 'Adventure', 'Indie']"
626,42960,Victoria II,Paradox Development Studio,Paradox Interactive,0.75,500000,['Strategy']
670,464060,RUINER,Reikon Games,Devolver Digital,0.75,500000,"['Action', 'Indie']"
678,473690,Absolver,Sloclap,Devolver Digital,0.75,200000,"['Action', 'Adventure', 'Indie']"
